Velocity,Distance
0.4835350078,176.8073433
0.4582737743,211.4793326
0.2989383875,191.8506349
0.2714283423,99.8652404
0.7250983654,157.8941462
0.7186854404,183.9718345
0.2590092594,185.550317
0.6057345559,33.2434329
0.1311299275,11.74885181
1.066253613,110.8991797
1.307866548,61.32394483
0.9893409939,197.7250465
