Velocity b,Distance b,Velocity a,Distance a
0.2900351932,24.75037485,0.2527607634,43.1645746
0.2188061196,47.06741582,0.107244072,34.94568012
0.1823638404,56.86352539,0.1766679768,15.63218518
0.3383220007,31.88836578,0.2179094375,46.84539847
