CH1 (V)  	CH2 (V)
-0.312304688	0.038574219
-0.312304688	0.039550781
-0.312304688	0.039062500
-0.312304688	0.039550781
-0.312304688	0.039062500
-0.312304688	0.039550781
-0.312304688	0.039062500
-0.312304688	0.039062500
-0.312304688	0.038574219
-0.296689453	0.037597656
-0.249843750	0.039062500
-0.202998047	0.040039062
-0.156152344	0.038574219
-0.109306641	0.040039062
-0.062460938	0.038574219
-0.000000000	0.039550781
0.046845703	0.038574219
0.093691406	0.040039062
0.124921875	0.039062500
0.187382812	0.039550781
0.234228516	0.038574219
0.281074219	0.040039062
0.327919922	0.038574219
0.374765625	0.040039062
0.421611328	0.038574219
0.468457031	0.039550781
0.515302734	0.039062500
0.562148437	0.039550781
0.608994141	0.038574219
0.655839844	0.037109375
0.718300781	0.039062500
0.765146484	0.039062500
0.796376953	0.038574219
0.858837891	0.039550781
0.905683594	0.039062500
0.952529297	0.039062500
0.999375000	0.038574219
1.046220703	0.039550781
1.108681641	0.038574219
1.139912109	0.040039062
1.186757813	0.039062500
1.249218750	0.039550781
1.280449219	0.039062500
1.342910156	0.038574219
1.389755859	0.039062500
1.436601562	0.039550781
1.483447266	0.038574219
1.530292969	0.039062500
1.577138672	0.039062500
1.608369141	0.039550781
1.670830078	0.039062500
1.717675781	0.039062500
1.764521484	0.039062500
1.811367187	0.039550781
1.873828125	0.038574219
1.920673828	0.039550781
1.967519531	0.039062500
2.014365234	0.039550781
2.045595703	0.039062500
2.108056641	0.039062500
2.154902344	0.038574219
2.186132812	0.039062500
2.232978516	0.039062500
2.295439453	0.039062500
2.326669922	0.038574219
2.373515625	0.039550781
2.435976563	0.038574219
2.482822266	0.040039062
2.529667969	0.038574219
2.576513672	0.039550781
2.623359375	0.038574219
2.670205078	0.039062500
2.717050781	0.038574219
2.779511719	0.039550781
2.826357422	0.039062500
2.857587891	0.039062500
2.904433594	0.038574219
2.951279297	0.031738281
3.013740234	0.040039062
3.060585937	0.044921875
3.091816406	0.039062500
3.154277344	0.039550781
3.201123047	0.038574219
3.232353516	0.039062500
3.294814453	0.039062500
3.326044922	0.039550781
3.388505859	0.039062500
3.419736328	0.040039062
3.482197266	0.038574219
3.529042969	0.039550781
3.575888672	0.039062500
3.638349609	0.040039062
3.669580078	0.039062500
3.732041016	0.039550781
3.778886719	0.039062500
3.810117187	0.039550781
3.856962891	0.039062500
3.919423828	0.039550781
3.966269531	0.039062500
4.028730469	0.040527344
4.075576172	0.039062500
4.122421875	0.039062500
4.169267578	0.039550781
4.216113281	0.039550781
4.262958984	0.039062500
4.309804687	0.039550781
4.356650391	0.039550781
4.403496094	0.039550781
4.465957031	0.039550781
4.512802734	0.039550781
4.544033203	0.040039062
4.590878906	0.039550781
4.653339844	0.039550781
4.684570312	0.039550781
4.747031250	0.039550781
4.778261719	0.040039062
4.840722656	0.039550781
4.887568359	0.040039062
4.950029297	0.040527344
4.981259766	0.040039062
5.028105469	0.040527344
5.074951172	0.040039062
5.121796875	0.040527344
5.153027344	0.040039062
5.215488281	0.040527344
5.262333984	0.040527344
5.324794922	0.041015625
5.356025391	0.040527344
5.418486328	0.041503906
5.465332031	0.041015625
5.496562500	0.041015625
5.559023437	0.040527344
5.605869141	0.041503906
5.652714844	0.042480469
5.699560547	0.042480469
5.730791016	0.041992187
5.793251953	0.041992187
5.840097656	0.042968750
5.886943359	0.043457031
5.933789062	0.043945312
5.980634766	0.042968750
6.027480469	0.044433594
6.074326172	0.044921875
6.121171875	0.044433594
6.183632812	0.044921875
6.214863281	0.045410156
6.277324219	0.045410156
6.324169922	0.046386719
6.371015625	0.045410156
6.402246094	0.044921875
6.449091797	0.044921875
6.511552734	0.045410156
6.558398438	0.044921875
6.605244141	0.044921875
6.652089844	0.044921875
6.698935547	0.044433594
6.745781250	0.044433594
6.792626953	0.043457031
6.839472656	0.043457031
6.886318359	0.043945312
6.948779297	0.043945312
6.980009766	0.043457031
7.026855469	0.042968750
7.089316406	0.042968750
7.136162109	0.042968750
7.183007812	0.042480469
7.229853516	0.042480469
7.261083984	0.041992187
7.323544922	0.042968750
7.354775391	0.042480469
7.417236328	0.042480469
7.464082031	0.042480469
7.510927734	0.041992187
7.557773437	0.041503906
7.604619141	0.042480469
7.651464844	0.043457031
7.698310547	0.042480469
7.745156250	0.042480469
7.792001953	0.042480469
7.838847656	0.042480469
7.885693359	0.042968750
7.932539063	0.042968750
7.979384766	0.042968750
8.041845703	0.042480469
8.088691406	0.042968750
8.135537109	0.042968750
8.182382813	0.043457031
8.244843750	0.043945312
8.291689453	0.043945312
8.322919922	0.042968750
8.369765625	0.043945312
8.432226563	0.043457031
8.479072266	0.043945312
8.525917969	0.043945312
8.572763672	0.044921875
8.619609375	0.045410156
8.666455078	0.044921875
8.713300781	0.044433594
8.775761719	0.045410156
8.806992188	0.044921875
8.853837891	0.045898437
8.900683594	0.045410156
8.947529297	0.046386719
9.009990234	0.045898437
9.041220703	0.046386719
9.103681641	0.046386719
9.134912109	0.047363281
9.197373047	0.048339844
9.228603516	0.047851562
9.275449219	0.047363281
9.337910156	0.047851562
9.369140625	0.047851562
9.415986328	0.049316406
9.478447266	0.048828125
9.540908203	0.049316406
9.572138672	0.049316406
9.618984375	0.050292969
9.665830078	0.049804687
9.712675781	0.050781250
9.759521484	0.050781250
9.806367187	0.052246094
9.868828125	0.051269531
9.900058594	0.053222656
9.946904297	0.052246094
10.009365234	0.053710937
10.040595703	0.053710937
10.103056641	0.054687500
10.134287109	0.054687500
10.181132812	0.055664062
10.227978516	0.056152344
10.274824219	0.058105469
10.321669922	0.058105469
10.384130859	0.059570312
10.430976562	0.060058594
10.477822266	0.061523437
10.524667969	0.062500000
10.571513672	0.063476562
10.618359375	0.065429687
10.665205078	0.067382812
10.712050781	0.068359375
10.758896484	0.070312500
10.805742187	0.071777344
10.852587891	0.073730469
10.899433594	0.074218750
10.961894531	0.076660156
10.993125000	0.077636719
11.055585938	0.079101562
11.102431641	0.079101562
11.149277344	0.080078125
11.180507813	0.080078125
11.242968750	0.080078125
11.274199219	0.079101562
11.321044922	0.078613281
11.367890625	0.077636719
11.414736328	0.076660156
11.477197266	0.075683594
11.524042969	0.074218750
11.570888672	0.073730469
11.617734375	0.073242187
11.664580078	0.071777344
11.711425781	0.070800781
11.758271484	0.069824219
11.805117188	0.069335937
11.851962891	0.067871094
11.898808594	0.067382812
11.945654297	0.065917969
12.008115234	0.064941406
12.070576172	0.063476562
12.101806641	0.062988281
12.148652344	0.061523437
12.211113281	0.061523437
12.242343750	0.060058594
12.304804687	0.060058594
12.351650391	0.059082031
12.398496094	0.059082031
12.445341797	0.058105469
12.492187500	0.058105469
12.523417969	0.057128906
12.585878906	0.057128906
12.632724609	0.056152344
12.679570312	0.057128906
12.726416016	0.056152344
12.773261719	0.056152344
12.820107422	0.055175781
12.866953125	0.056152344
12.913798828	0.055664062
12.960644531	0.056640625
13.023105469	0.055664062
13.069951172	0.056640625
13.116796875	0.055664062
13.148027344	0.057128906
13.210488281	0.056152344
13.257333984	0.057128906
13.304179687	0.057128906
13.351025391	0.057617187
13.397871094	0.057128906
13.444716797	0.058105469
13.491562500	0.057617187
13.538408203	0.058593750
13.585253906	0.058105469
13.632099609	0.059570312
13.678945312	0.059570312
13.725791016	0.060546875
13.772636719	0.060058594
13.819482422	0.061523437
13.866328125	0.061035156
13.928789062	0.062011719
13.975634766	0.062011719
14.022480469	0.063476562
14.053710937	0.062988281
14.100556641	0.063964844
14.163017578	0.065429687
14.209863281	0.065429687
14.241093750	0.065429687
14.303554688	0.066894531
14.350400391	0.067871094
14.381630859	0.068359375
14.444091797	0.068359375
14.475322266	0.069335937
14.522167969	0.069824219
14.584628906	0.071289062
14.615859375	0.071777344
14.678320313	0.073242187
14.725166016	0.072753906
14.772011719	0.074218750
14.818857422	0.074707031
14.865703125	0.076171875
14.912548828	0.077148437
14.975009766	0.078613281
15.006240234	0.079101562
15.053085938	0.081542969
15.115546875	0.082031250
15.162392578	0.084472656
15.193623047	0.085449219
15.256083984	0.087890625
15.287314453	0.089843750
15.349775391	0.092285156
15.396621094	0.093750000
15.443466797	0.096679687
15.505927734	0.099121094
15.537158203	0.102050781
15.584003906	0.105468750
15.630849609	0.108398437
15.677695312	0.110839844
15.724541016	0.114257812
15.771386719	0.116699219
15.818232422	0.119628906
15.880693359	0.122070312
15.911923828	0.124023437
15.958769531	0.125488281
16.036845703	0.126953125
16.068076172	0.127441406
16.130537109	0.127929687
16.161767578	0.127441406
16.208613281	0.126953125
16.255458984	0.125976562
16.302304688	0.125000000
16.364765625	0.124511719
16.395996094	0.123535156
16.458457031	0.122070312
16.505302734	0.121093750
16.552148438	0.120117187
16.614609375	0.118652344
16.645839844	0.117675781
16.692685547	0.116210937
16.739531250	0.114257812
16.786376953	0.112304687
16.833222656	0.109863281
16.895683594	0.107421875
16.926914062	0.104980469
16.973759766	0.102539062
17.020605469	0.100585937
17.067451172	0.099121094
17.114296875	0.096679687
17.161142578	0.095214844
17.207988281	0.093261719
17.254833984	0.092773437
17.317294922	0.090820312
17.348525391	0.089843750
17.395371094	0.087890625
17.457832031	0.086914062
17.504677734	0.085449219
17.535908203	0.084960937
17.598369141	0.083496094
17.645214844	0.083007812
17.692060547	0.081542969
17.738906250	0.081542969
17.785751953	0.080078125
17.832597656	0.080078125
17.879443359	0.079101562
17.926289063	0.079101562
17.973134766	0.079101562
18.019980469	0.079101562
18.066826172	0.078125000
18.129287109	0.078613281
18.160517578	0.078125000
18.207363281	0.078613281
18.254208984	0.078125000
18.316669922	0.079101562
18.347900391	0.078613281
18.394746094	0.079101562
18.441591797	0.079101562
18.488437500	0.080078125
18.550898437	0.079589844
18.597744141	0.081054687
18.644589844	0.081054687
18.675820313	0.081542969
18.738281250	0.083496094
18.785126953	0.082519531
18.831972656	0.082519531
18.863203125	0.083984375
18.925664063	0.085449219
18.988125000	0.085937500
19.019355469	0.085937500
19.066201172	0.086914062
19.113046875	0.087890625
19.159892578	0.089355469
19.206738281	0.089355469
19.269199219	0.090820312
19.300429687	0.091308594
19.362890625	0.092773437
19.409736328	0.093261719
19.440966797	0.094726562
19.503427734	0.095214844
19.550273437	0.096679687
19.597119141	0.097656250
19.643964844	0.099609375
19.675195313	0.100585937
