CH1 (V)  	CH2 (V)
-0.312304688	0.039062500
-0.312304688	0.040039062
-0.312304688	0.039062500
-0.312304688	0.040039062
-0.312304688	0.039062500
-0.312304688	0.039550781
-0.312304688	0.039062500
-0.312304688	0.040039062
-0.312304688	0.039550781
-0.312304688	0.039550781
-0.296689453	0.039062500
-0.312304688	0.040039062
-0.312304688	0.039550781
-0.312304688	0.040527344
-0.312304688	0.039550781
-0.312304688	0.039550781
-0.312304688	0.040039062
-0.312304688	0.040039062
-0.312304688	0.039550781
-0.265458984	0.040039062
-0.218613281	0.039550781
-0.171767578	0.040039062
-0.124921875	0.039550781
-0.078076172	0.040039062
-0.015615234	0.038574219
0.015615234	0.040039062
0.062460938	0.039550781
0.109306641	0.040039062
0.156152344	0.039550781
0.218613281	0.040039062
0.249843750	0.039062500
0.296689453	0.040039062
0.359150391	0.039550781
0.405996094	0.039550781
0.452841797	0.039550781
0.499687500	0.040039062
0.546533203	0.039062500
0.593378906	0.039550781
0.640224609	0.039550781
0.687070312	0.040039062
0.733916016	0.039550781
0.796376953	0.040039062
0.843222656	0.039550781
0.874453125	0.040039062
0.921298828	0.039062500
0.983759766	0.039550781
1.030605469	0.039550781
1.077451172	0.048339844
1.108681641	0.040527344
1.171142578	0.039550781
1.217988281	0.038085937
1.264833984	0.039550781
1.327294922	0.040039062
1.358525391	0.041015625
1.420986328	0.039550781
1.467832031	0.039550781
1.499062500	0.039550781
1.545908203	0.039550781
1.592753906	0.038574219
1.639599609	0.040039062
1.702060547	0.040039062
1.748906250	0.040039062
1.795751953	0.039062500
1.842597656	0.040039062
1.889443359	0.039062500
1.936289062	0.040039062
1.983134766	0.039550781
2.029980469	0.040039062
2.076826172	0.029296875
2.123671875	0.039550781
2.170517578	0.040039062
2.217363281	0.039550781
2.264208984	0.039550781
2.311054687	0.039550781
2.373515625	0.040039062
2.404746094	0.040039062
2.467207031	0.039550781
2.498437500	0.040039062
2.560898438	0.039062500
2.607744141	0.040039062
2.638974609	0.039550781
2.701435547	0.039550781
2.732666016	0.039550781
2.795126953	0.040039062
2.841972656	0.040039062
2.888818359	0.040039062
2.935664062	0.039062500
2.982509766	0.040039062
3.029355469	0.039062500
3.076201172	0.040039062
3.123046875	0.040039062
3.169892578	0.040039062
3.216738281	0.040039062
3.263583984	0.040039062
3.310429688	0.039062500
3.357275391	0.040039062
3.404121094	0.039550781
3.466582031	0.040039062
3.513427734	0.040039062
3.560273437	0.040039062
3.607119141	0.039062500
3.653964844	0.040039062
3.685195312	0.039062500
3.747656250	0.040527344
3.794501953	0.040039062
3.841347656	0.040039062
3.888193359	0.040039062
3.950654297	0.040039062
3.981884766	0.039062500
4.044345703	0.040527344
4.091191406	0.040039062
4.153652344	0.040527344
4.200498047	0.040039062
4.247343750	0.040527344
4.278574219	0.040039062
4.341035156	0.040527344
4.387880859	0.040039062
4.434726562	0.041015625
4.481572266	0.040527344
4.528417969	0.040527344
4.575263672	0.040527344
4.622109375	0.041015625
4.668955078	0.040527344
4.715800781	0.040527344
4.778261719	0.039550781
4.825107422	0.040527344
4.856337891	0.040527344
4.903183594	0.041015625
4.965644531	0.041015625
5.012490234	0.041015625
5.059335938	0.041015625
5.090566406	0.041015625
5.153027344	0.041015625
5.184257813	0.041503906
5.231103516	0.040527344
5.293564453	0.041503906
5.340410156	0.041503906
5.387255859	0.041992187
5.434101562	0.041015625
5.480947266	0.041992187
5.527792969	0.042480469
5.574638672	0.041992187
5.621484375	0.041015625
5.668330078	0.042480469
5.715175781	0.041992187
5.762021484	0.043457031
5.824482422	0.043457031
5.871328125	0.043945312
5.918173828	0.043457031
5.965019531	0.044921875
6.011865234	0.043945312
6.058710937	0.045410156
6.089941406	0.045410156
6.152402344	0.046386719
6.199248047	0.045898437
6.246093750	0.046875000
6.292939453	0.046386719
6.339785156	0.046386719
6.386630859	0.046386719
6.433476563	0.046386719
6.480322266	0.046386719
6.527167969	0.045898437
6.574013672	0.044921875
6.620859375	0.045410156
6.667705078	0.044433594
6.714550781	0.045410156
6.761396484	0.044921875
6.808242188	0.044433594
6.870703125	0.044921875
6.901933594	0.043945312
6.964394531	0.044433594
7.011240234	0.043945312
7.058085937	0.043457031
7.104931641	0.043457031
7.151777344	0.042968750
7.198623047	0.043457031
7.245468750	0.042480469
7.292314453	0.043457031
7.339160156	0.042480469
7.386005859	0.043457031
7.432851562	0.043457031
7.479697266	0.042968750
7.526542969	0.041503906
7.573388672	0.042968750
7.620234375	0.042480469
7.682695312	0.042968750
7.713925781	0.041992187
7.776386719	0.043457031
7.807617187	0.042480469
7.854462891	0.043457031
7.916923828	0.043457031
7.963769531	0.043457031
8.026230469	0.043945312
8.073076172	0.043457031
8.119921875	0.042968750
8.151152344	0.043457031
8.213613281	0.044921875
8.260458984	0.044433594
8.307304688	0.044433594
8.338535156	0.044433594
8.400996094	0.044433594
8.447841797	0.044921875
8.494687500	0.043457031
8.541533203	0.044433594
8.588378906	0.044433594
8.635224609	0.044921875
8.682070313	0.045898437
8.728916016	0.045898437
8.791376953	0.045898437
8.838222656	0.045898437
8.869453125	0.046386719
8.931914063	0.046386719
8.978759766	0.046875000
9.025605469	0.046386719
9.072451172	0.047363281
9.103681641	0.047363281
9.166142578	0.048339844
9.197373047	0.047851562
9.259833984	0.048339844
9.306679687	0.047851562
9.353525391	0.048828125
9.400371094	0.049316406
9.431601562	0.048339844
9.509677734	0.049316406
9.556523437	0.050292969
9.603369141	0.049804687
9.634599609	0.049316406
9.697060547	0.051269531
9.728291016	0.051269531
9.790751953	0.051269531
9.837597656	0.051269531
9.868828125	0.052246094
9.915673828	0.048339844
9.962519531	0.055664062
10.024980469	0.053222656
10.071826172	0.054199219
10.103056641	0.053710937
10.165517578	0.055175781
10.212363281	0.055664062
10.259208984	0.056640625
10.290439453	0.057128906
10.352900391	0.058105469
10.399746094	0.058105469
10.446591797	0.059570312
10.493437500	0.060546875
10.540283203	0.062011719
10.587128906	0.063476562
10.633974609	0.064941406
10.696435547	0.065429687
10.727666016	0.067382812
10.790126953	0.069824219
10.821357422	0.070800781
10.883818359	0.071777344
10.930664062	0.073242187
10.961894531	0.074707031
11.024355469	0.076171875
11.071201172	0.069335937
11.118046875	0.077148437
11.164892578	0.078613281
11.196123047	0.077636719
11.258583984	0.077148437
11.305429688	0.077148437
11.352275391	0.076660156
11.399121094	0.074707031
11.445966797	0.073242187
11.492812500	0.073242187
11.555273438	0.073242187
11.602119141	0.070800781
11.648964844	0.070800781
11.680195313	0.068847656
11.727041016	0.068359375
11.789501953	0.067382812
11.836347656	0.066894531
11.867578125	0.066406250
11.930039063	0.065429687
11.961269531	0.063964844
12.039345703	0.062988281
12.086191406	0.062011719
12.133037109	0.060546875
12.179882813	0.060058594
12.242343750	0.060058594
12.273574219	0.057617187
12.320419922	0.058593750
12.367265625	0.057617187
12.429726562	0.057617187
12.460957031	0.056640625
12.523417969	0.055664062
12.570263672	0.056152344
12.617109375	0.056152344
12.648339844	0.055664062
12.695185547	0.054687500
12.757646484	0.054687500
12.788876953	0.055175781
12.851337891	0.054687500
12.882568359	0.055175781
12.945029297	0.054687500
12.991875000	0.055175781
13.038720703	0.054687500
13.085566406	0.055175781
13.132412109	0.054687500
13.179257812	0.055664062
13.226103516	0.055664062
