CH1 (V)  	CH2 (V)
-0.312304688	0.038574219
-0.312304688	0.038574219
-0.312304688	0.038574219
-0.296689453	0.040039062
-0.312304688	0.039550781
-0.312304688	0.039062500
-0.312304688	0.039550781
-0.265458984	0.038574219
-0.218613281	0.039550781
-0.187382812	0.039062500
-0.124921875	0.040039062
-0.078076172	0.038574219
-0.015615234	0.040039062
0.015615234	0.039062500
0.078076172	0.039550781
0.109306641	0.038574219
0.156152344	0.039550781
0.202998047	0.039062500
0.249843750	0.040039062
0.312304688	0.038574219
0.343535156	0.040039062
0.390380859	0.038574219
0.452841797	0.040039062
0.499687500	0.039062500
0.546533203	0.040039062
0.593378906	0.038574219
0.640224609	0.039550781
0.671455078	0.039062500
0.733916016	0.039550781
0.780761719	0.039062500
0.827607422	0.039550781
0.874453125	0.039062500
0.921298828	0.040039062
0.983759766	0.039062500
1.030605469	0.039550781
1.061835937	0.039062500
1.108681641	0.040039062
1.155527344	0.039062500
1.202373047	0.040039062
1.249218750	0.039062500
1.311679688	0.039550781
1.358525391	0.039062500
1.389755859	0.038574219
1.436601562	0.039062500
1.499062500	0.040039062
1.545908203	0.038085937
1.592753906	0.039550781
1.639599609	0.038574219
1.686445313	0.040039062
1.733291016	0.039062500
1.780136719	0.039550781
1.826982422	0.039062500
1.873828125	0.038574219
1.920673828	0.039062500
1.983134766	0.040039062
2.029980469	0.039062500
2.076826172	0.039062500
2.108056641	0.039062500
2.154902344	0.040039062
2.201748047	0.039062500
2.264208984	0.040039062
2.311054687	0.038574219
2.357900391	0.040039062
2.404746094	0.039062500
2.451591797	0.040039062
2.498437500	0.039062500
2.560898438	0.039550781
2.592128906	0.039062500
2.638974609	0.040039062
2.685820312	0.039062500
2.732666016	0.040039062
2.779511719	0.039062500
2.841972656	0.040039062
2.873203125	0.039062500
2.920048828	0.040039062
2.982509766	0.039062500
3.029355469	0.040039062
3.076201172	0.039062500
3.107431641	0.040039062
3.169892578	0.039062500
3.216738281	0.040039062
3.263583984	0.039550781
3.294814453	0.038574219
3.357275391	0.039062500
3.404121094	0.040039062
3.435351562	0.039062500
3.497812500	0.040039062
3.560273437	0.039550781
3.591503906	0.040039062
3.638349609	0.039550781
3.685195312	0.040039062
3.732041016	0.039550781
3.778886719	0.040039062
3.825732422	0.039550781
3.872578125	0.039550781
3.919423828	0.039550781
3.981884766	0.040527344
4.044345703	0.039550781
4.091191406	0.040039062
4.122421875	0.039550781
4.169267578	0.039550781
4.231728516	0.039550781
4.278574219	0.040527344
4.309804687	0.040039062
4.372265625	0.040527344
4.419111328	0.040039062
4.481572266	0.041015625
4.512802734	0.040039062
4.575263672	0.041015625
4.606494141	0.040039062
4.653339844	0.041015625
4.700185547	0.040527344
4.762646484	0.041015625
4.793876953	0.040527344
4.840722656	0.041503906
4.887568359	0.040527344
4.934414063	0.041992187
4.996875000	0.041015625
5.059335938	0.041992187
5.090566406	0.041015625
5.137412109	0.042480469
5.184257813	0.041503906
5.231103516	0.042480469
5.277949219	0.041992187
5.324794922	0.042480469
5.371640625	0.042480469
5.418486328	0.042968750
5.465332031	0.042968750
5.512177734	0.043457031
5.559023437	0.042968750
5.605869141	0.044433594
5.652714844	0.043457031
5.699560547	0.043945312
5.746406250	0.044433594
5.808867187	0.045898437
5.840097656	0.044921875
5.902558594	0.045410156
5.949404297	0.046386719
5.996250000	0.047851562
6.043095703	0.047363281
6.074326172	0.047851562
6.136787109	0.048828125
6.183632812	0.050292969
6.230478516	0.048828125
6.277324219	0.050781250
6.324169922	0.049804687
6.371015625	0.050292969
6.417861328	0.048828125
6.464707031	0.049804687
6.511552734	0.048339844
6.558398438	0.048828125
6.589628906	0.047851562
6.652089844	0.048339844
6.698935547	0.046875000
6.745781250	0.047363281
6.792626953	0.045898437
6.839472656	0.046875000
6.886318359	0.045898437
6.933164062	0.046386719
6.995625000	0.045410156
7.042470703	0.045898437
7.089316406	0.044433594
7.136162109	0.045410156
7.183007812	0.043945312
7.229853516	0.044921875
7.276699219	0.044433594
7.307929687	0.043945312
7.370390625	0.043945312
7.417236328	0.043945312
7.464082031	0.043945312
7.510927734	0.044921875
7.557773437	0.043945312
7.604619141	0.044433594
7.667080078	0.041992187
7.698310547	0.045410156
7.760771484	0.043457031
7.807617187	0.044433594
7.854462891	0.043945312
7.901308594	0.044921875
7.948154297	0.043945312
7.979384766	0.045410156
8.057460938	0.044433594
8.104306641	0.045410156
8.151152344	0.044433594
8.182382813	0.044433594
8.244843750	0.044921875
8.276074219	0.045898437
8.338535156	0.044921875
8.369765625	0.045410156
8.432226563	0.044921875
8.479072266	0.046875000
8.525917969	0.045410156
8.572763672	0.045898437
8.619609375	0.046386719
8.666455078	0.046875000
8.713300781	0.046875000
8.760146484	0.047851562
8.822607422	0.047363281
8.869453125	0.048828125
8.900683594	0.047851562
8.947529297	0.048828125
9.009990234	0.048339844
9.041220703	0.049804687
9.103681641	0.049316406
9.150527344	0.050292969
9.197373047	0.049804687
9.244218750	0.051269531
9.291064453	0.050292969
9.337910156	0.051757812
9.384755859	0.051269531
9.431601562	0.051757812
9.478447266	0.052246094
9.525292969	0.052246094
9.572138672	0.053222656
9.618984375	0.054199219
9.665830078	0.053710937
9.712675781	0.054199219
9.759521484	0.054687500
9.806367187	0.055175781
9.868828125	0.055664062
9.900058594	0.057617187
9.946904297	0.057128906
10.009365234	0.058593750
10.040595703	0.058105469
10.087441406	0.059570312
10.134287109	0.059570312
10.181132812	0.061523437
10.243593750	0.061523437
10.274824219	0.063476562
10.321669922	0.063964844
10.368515625	0.064941406
10.415361328	0.066406250
10.477822266	0.068847656
10.509052734	0.069824219
10.571513672	0.071777344
10.618359375	0.073242187
10.665205078	0.075683594
10.712050781	0.077148437
10.758896484	0.079589844
10.805742187	0.081054687
10.852587891	0.084472656
10.899433594	0.084960937
10.961894531	0.087402344
10.993125000	0.088867187
11.039970703	0.090332031
11.086816406	0.090820312
11.133662109	0.092285156
11.180507813	0.091308594
11.227353516	0.091308594
11.289814453	0.089843750
11.336660156	0.089355469
11.383505859	0.087402344
11.414736328	0.086425781
11.461582031	0.084472656
11.524042969	0.083984375
11.570888672	0.081542969
11.617734375	0.081054687
11.664580078	0.079101562
11.711425781	0.078613281
11.758271484	0.077148437
11.805117188	0.076171875
11.851962891	0.074218750
11.898808594	0.073242187
11.945654297	0.070800781
11.992500000	0.070800781
12.070576172	0.067871094
12.117421875	0.067871094
12.148652344	0.066406250
12.195498047	0.065917969
12.242343750	0.063964844
12.289189453	0.064453125
12.336035156	0.063476562
12.382880859	0.062011719
12.429726562	0.061523437
12.492187500	0.061035156
12.539033203	0.060546875
12.585878906	0.060546875
12.617109375	0.059570312
12.679570312	0.060058594
12.742031250	0.059082031
12.773261719	0.059570312
12.820107422	0.058593750
12.866953125	0.059570312
12.913798828	0.058593750
12.960644531	0.058593750
13.007490234	0.059082031
13.069951172	0.059570312
13.101181641	0.059082031
13.148027344	0.059082031
13.210488281	0.059570312
13.241718750	0.059570312
13.304179687	0.059570312
13.335410156	0.060546875
13.397871094	0.060546875
13.429101562	0.061523437
13.491562500	0.061523437
13.538408203	0.062500000
13.585253906	0.062011719
13.632099609	0.062988281
13.678945312	0.062988281
13.725791016	0.063964844
13.772636719	0.063964844
13.819482422	0.064453125
13.866328125	0.064941406
13.913173828	0.066406250
13.960019531	0.066406250
14.006865234	0.067871094
14.053710937	0.067871094
14.116171875	0.069335937
14.147402344	0.068847656
14.194248047	0.070312500
14.241093750	0.069824219
14.287939453	0.071289062
14.334785156	0.071777344
14.381630859	0.073730469
14.428476563	0.071777344
14.475322266	0.075195312
14.522167969	0.075683594
14.584628906	0.076660156
14.615859375	0.077148437
14.662705078	0.078125000
14.709550781	0.079101562
14.756396484	0.080078125
14.803242188	0.081054687
14.850087891	0.083007812
14.912548828	0.083496094
14.959394531	0.084960937
15.006240234	0.086425781
15.053085938	0.088378906
15.099931641	0.089355469
15.146777344	0.091796875
15.193623047	0.093261719
15.240468750	0.095703125
15.302929687	0.097167969
15.334160156	0.100097656
15.381005859	0.102539062
15.427851562	0.105957031
15.490312500	0.108398437
15.521542969	0.112304687
15.568388672	0.114746094
15.615234375	0.119140625
15.677695312	0.122070312
15.724541016	0.125976562
15.755771484	0.128417969
15.802617187	0.131835937
15.849462891	0.134277344
15.911923828	0.137695312
15.958769531	0.138671875
16.005615234	0.140625000
16.068076172	0.140625000
16.099306641	0.141601562
16.161767578	0.140136719
16.208613281	0.140136719
16.239843750	0.138671875
16.302304688	0.138183594
16.349150391	0.136230469
16.395996094	0.135742187
16.442841797	0.133300781
16.489687500	0.132324219
16.536533203	0.130859375
16.583378906	0.129882812
16.630224609	0.127929687
16.677070312	0.126953125
16.723916016	0.124023437
16.770761719	0.122558594
16.817607422	0.119140625
16.880068359	0.116699219
16.911298828	0.113281250
16.958144531	0.110839844
17.004990234	0.107910156
17.067451172	0.106445312
17.114296875	0.103515625
17.161142578	0.102050781
17.192373047	0.099609375
17.239218750	0.098632812
17.317294922	0.096679687
17.348525391	0.095214844
17.395371094	0.093261719
17.442216797	0.092285156
17.489062500	0.090332031
17.520292969	0.089355469
17.582753906	0.087402344
17.629599609	0.087402344
17.676445313	0.085937500
17.723291016	0.085449219
17.770136719	0.084960937
17.816982422	0.083496094
17.863828125	0.083007812
17.910673828	0.083007812
17.957519531	0.083007812
18.019980469	0.082519531
18.051210937	0.082519531
18.113671875	0.082031250
18.144902344	0.082031250
18.191748047	0.082519531
18.254208984	0.082031250
18.301054687	0.082519531
18.332285156	0.082519531
18.394746094	0.083007812
18.425976563	0.083007812
18.472822266	0.083007812
18.519667969	0.083984375
18.566513672	0.083984375
18.628974609	0.084960937
18.675820313	0.085449219
18.722666016	0.085937500
18.769511719	0.086425781
18.831972656	0.086914062
18.863203125	0.088867187
18.910048828	0.088378906
18.956894531	0.088867187
19.003740234	0.089843750
19.066201172	0.091796875
19.097431641	0.092285156
19.144277344	0.093261719
19.206738281	0.093261719
19.253583984	0.094726562
19.300429687	0.095214844
19.331660156	0.097167969
19.394121094	0.097656250
19.425351563	0.098632812
19.487812500	0.100097656
19.534658203	0.101074219
19.565888672	0.102539062
19.628349609	0.104003906
19.675195313	0.104980469
19.722041016	0.105957031
19.768886719	0.107421875
19.815732422	0.109375000
19.862578125	0.110839844
19.909423828	0.112792969
19.956269531	0.115722656
20.003115234	0.116699219
20.065576172	0.119140625
20.112421875	0.121582031
20.159267578	0.124023437
20.206113281	0.126464844
20.268574219	0.129882812
20.299804687	0.133300781
20.346650391	0.136230469
20.393496094	0.139648437
20.455957031	0.143554687
20.502802734	0.146972656
20.549648438	0.150878906
20.596494141	0.155273437
20.643339844	0.158203125
20.674570312	0.161621094
20.737031250	0.165527344
20.783876953	0.168457031
20.830722656	0.170898437
20.877568359	0.173828125
20.924414062	0.174316406
20.986875000	0.177734375
21.033720703	0.177734375
21.064951172	0.179687500
21.111796875	0.179199219
21.143027344	0.180664062
21.205488281	0.180175781
21.252333984	0.181640625
21.299179688	0.180664062
21.346025391	0.181640625
21.392871094	0.180664062
21.439716797	0.181152344
21.502177734	0.179687500
21.549023438	0.179199219
21.595869141	0.177246094
21.642714844	0.176269531
21.689560547	0.173339844
21.736406250	0.171386719
21.767636719	0.167480469
21.830097656	0.166015625
21.876943359	0.161621094
21.923789062	0.160156250
21.970634766	0.156738281
22.017480469	0.154785156
22.079941406	0.151855469
