CH1 (V)  	CH2 (V)
-0.312304688	0.039062500
-0.312304688	0.040039062
-0.312304688	0.039062500
-0.312304688	0.040039062
-0.312304688	0.039062500
-0.312304688	0.040039062
-0.312304688	0.039062500
-0.312304688	0.040039062
-0.265458984	0.039062500
-0.218613281	0.039550781
-0.171767578	0.039550781
-0.124921875	0.040039062
-0.062460938	0.039062500
-0.015615234	0.040039062
0.031230469	0.039062500
0.062460938	0.040039062
0.109306641	0.039062500
0.156152344	0.040527344
0.202998047	0.039062500
0.249843750	0.039550781
0.312304688	0.039062500
0.359150391	0.040039062
0.405996094	0.039062500
0.437226562	0.040039062
0.484072266	0.039062500
0.546533203	0.040039062
0.593378906	0.039062500
0.624609375	0.040039062
0.687070312	0.039550781
0.733916016	0.040039062
0.780761719	0.039550781
0.827607422	0.040039062
0.874453125	0.039062500
0.921298828	0.040039062
0.983759766	0.039062500
1.014990234	0.040527344
1.077451172	0.039062500
1.108681641	0.038085937
1.155527344	0.039550781
1.217988281	0.040039062
1.264833984	0.039062500
1.311679688	0.040039062
1.342910156	0.039062500
1.405371094	0.040039062
1.452216797	0.039550781
1.499062500	0.040039062
1.545908203	0.039062500
1.592753906	0.040527344
1.639599609	0.039550781
1.686445313	0.040039062
1.717675781	0.040039062
1.780136719	0.040039062
1.842597656	0.039062500
1.873828125	0.040527344
1.936289062	0.039062500
1.983134766	0.040039062
2.014365234	0.039550781
2.061210937	0.040039062
2.108056641	0.039062500
2.154902344	0.040039062
2.201748047	0.039062500
2.248593750	0.040039062
2.295439453	0.039550781
2.342285156	0.040527344
2.389130859	0.039550781
2.451591797	0.040039062
2.498437500	0.039550781
2.529667969	0.040527344
2.576513672	0.039550781
2.638974609	0.040039062
2.685820312	0.039062500
2.748281250	0.040039062
2.763896484	0.039550781
2.826357422	0.040527344
2.857587891	0.039550781
2.920048828	0.040039062
2.966894531	0.039550781
3.013740234	0.040039062
3.076201172	0.039550781
3.107431641	0.040527344
3.154277344	0.040039062
3.201123047	0.040039062
3.263583984	0.039550781
3.310429688	0.040527344
3.341660156	0.039550781
3.388505859	0.040527344
3.435351562	0.039550781
3.497812500	0.040039062
3.544658203	0.039550781
3.591503906	0.040527344
3.638349609	0.040039062
3.685195312	0.040527344
3.716425781	0.039550781
3.778886719	0.040527344
3.841347656	0.039550781
3.872578125	0.041015625
3.919423828	0.039550781
3.966269531	0.040527344
4.028730469	0.039062500
4.059960937	0.041015625
4.138037109	0.040039062
4.169267578	0.041015625
4.216113281	0.040039062
4.278574219	0.041015625
4.309804687	0.040527344
4.356650391	0.041015625
4.403496094	0.040527344
4.465957031	0.041503906
4.497187500	0.040527344
4.559648437	0.041503906
4.606494141	0.040527344
4.637724609	0.041503906
4.700185547	0.041015625
4.747031250	0.041503906
4.793876953	0.040527344
4.840722656	0.041503906
4.887568359	0.041503906
4.934414063	0.041992187
4.981259766	0.041503906
5.043720703	0.041992187
5.074951172	0.041503906
5.121796875	0.042480469
5.168642578	0.041992187
5.215488281	0.042968750
5.262333984	0.042480469
5.324794922	0.042968750
5.371640625	0.042480469
5.402871094	0.043945312
5.449716797	0.043457031
5.512177734	0.044433594
5.559023437	0.043945312
5.605869141	0.044433594
5.637099609	0.044921875
5.699560547	0.045898437
5.746406250	0.045898437
5.777636719	0.046386719
5.840097656	0.046386719
5.886943359	0.047363281
5.933789062	0.047851562
5.980634766	0.048828125
6.043095703	0.048828125
6.074326172	0.049804687
6.121171875	0.049804687
6.168017578	0.050781250
6.214863281	0.050781250
6.277324219	0.051269531
6.308554688	0.051269531
6.355400391	0.051269531
6.417861328	0.050781250
6.449091797	0.050781250
6.495937500	0.050292969
6.542783203	0.049804687
6.605244141	0.048828125
6.636474609	0.049316406
6.683320313	0.048339844
6.745781250	0.048339844
6.792626953	0.047851562
6.839472656	0.047851562
6.870703125	0.046875000
6.933164062	0.046875000
6.980009766	0.046386719
7.026855469	0.046386719
7.073701172	0.045898437
7.120546875	0.046386719
7.151777344	0.045898437
7.214238281	0.045898437
7.261083984	0.045410156
7.307929687	0.045898437
7.354775391	0.044433594
7.401621094	0.045410156
7.448466797	0.042968750
7.510927734	0.045410156
7.542158203	0.044921875
7.604619141	0.045410156
7.635849609	0.044921875
7.698310547	0.045410156
7.745156250	0.044921875
7.792001953	0.045410156
7.838847656	0.045410156
7.885693359	0.045898437
7.932539063	0.044921875
7.979384766	0.045898437
8.041845703	0.045898437
8.088691406	0.045898437
8.135537109	0.045898437
8.182382813	0.046386719
8.229228516	0.046386719
8.276074219	0.046875000
8.322919922	0.046386719
8.354150391	0.046875000
8.416611328	0.046386719
8.463457031	0.047363281
8.510302734	0.047363281
8.557148438	0.047851562
8.619609375	0.047851562
8.650839844	0.047851562
8.697685547	0.048339844
8.744531250	0.048828125
8.806992188	0.048828125
8.838222656	0.049316406
8.900683594	0.049804687
8.947529297	0.050292969
8.978759766	0.050292969
9.041220703	0.050781250
9.088066406	0.056152344
9.134912109	0.052246094
9.181757812	0.051757812
9.228603516	0.052246094
9.259833984	0.052246094
9.322294922	0.053222656
9.369140625	0.053710937
9.415986328	0.053710937
9.462832031	0.054687500
9.509677734	0.055175781
9.556523437	0.055175781
9.603369141	0.056152344
9.650214844	0.055664062
9.697060547	0.058105469
9.743906250	0.035644531
9.790751953	0.057617187
9.837597656	0.058593750
9.884443359	0.059570312
9.931289062	0.059082031
9.993750000	0.060058594
10.024980469	0.061035156
10.071826172	0.061035156
10.118671875	0.062988281
10.165517578	0.062988281
10.227978516	0.063476562
10.259208984	0.065429687
10.306054687	0.066894531
10.368515625	0.067871094
10.399746094	0.068847656
10.462207031	0.070312500
10.509052734	0.072265625
10.555898437	0.074218750
10.602744141	0.076171875
10.633974609	0.078125000
10.696435547	0.080078125
10.743281250	0.081542969
10.790126953	0.084960937
10.852587891	0.085937500
10.883818359	0.088867187
10.930664062	0.090820312
10.977509766	0.092773437
11.039970703	0.094238281
11.071201172	0.095214844
11.118046875	0.095214844
11.164892578	0.096191406
11.211738281	0.095703125
11.274199219	0.095214844
11.321044922	0.093750000
11.367890625	0.093261719
11.399121094	0.090820312
11.461582031	0.089355469
11.508427734	0.087890625
11.555273438	0.086914062
11.602119141	0.085449219
11.633349609	0.083984375
11.680195313	0.083007812
11.742656250	0.081542969
11.773886719	0.080566406
11.836347656	0.079101562
11.883193359	0.077148437
11.930039063	0.075683594
11.976884766	0.074218750
12.039345703	0.073242187
12.086191406	0.071289062
12.133037109	0.070312500
12.179882813	0.068847656
12.242343750	0.068359375
12.273574219	0.067382812
12.320419922	0.066406250
12.382880859	0.065429687
12.414111328	0.065429687
12.476572266	0.064453125
12.523417969	0.063964844
12.570263672	0.063476562
12.617109375	0.063476562
12.663955078	0.062500000
12.710800781	0.062500000
12.757646484	0.062011719
12.804492187	0.062011719
12.851337891	0.061523437
12.898183594	0.062011719
12.945029297	0.062011719
12.991875000	0.062011719
13.038720703	0.061523437
13.085566406	0.062011719
13.132412109	0.062011719
13.179257812	0.062988281
13.226103516	0.062500000
13.288564453	0.063476562
13.319794922	0.062988281
13.382255859	0.063964844
13.413486328	0.063964844
13.460332031	0.064453125
13.507177734	0.064941406
13.569638672	0.065917969
13.600869141	0.065429687
13.647714844	0.065429687
13.694560547	0.066894531
13.757021484	0.067871094
